cleaned_text,sentiment,emotion,sentiment_conf,emotion_conf
great camera but battery drains quickly,Positive,joy,0.85,0.8
performance is fast but heats up sometimes,Neutral,neutral,0.6,0.6
the phone feels premium in hand,Neutral,neutral,0.6,0.6
battery life is amazing,Positive,joy,0.85,0.8
battery lasts all day,Neutral,neutral,0.6,0.6
build quality is excellent,Neutral,neutral,0.6,0.6
design looks outdated,Neutral,neutral,0.6,0.6
camera performs well in low light,Neutral,neutral,0.6,0.6
touch response is slow sometimes,Neutral,neutral,0.6,0.6
the phone feels premium in hand,Neutral,neutral,0.6,0.6
the phone feels premium in hand,Neutral,neutral,0.6,0.6
performance is fast but heats up sometimes,Neutral,neutral,0.6,0.6
design looks outdated,Neutral,neutral,0.6,0.6
heating issues while gaming,Neutral,neutral,0.6,0.6
speaker is loud and clear,Neutral,neutral,0.6,0.6
smooth performance overall,Neutral,neutral,0.6,0.6
value for money,Neutral,neutral,0.6,0.6
the phone feels premium in hand,Neutral,neutral,0.6,0.6
speaker is loud and clear,Neutral,neutral,0.6,0.6
smooth performance overall,Neutral,neutral,0.6,0.6
display is bright and clear,Neutral,neutral,0.6,0.6
speaker is loud and clear,Neutral,neutral,0.6,0.6
performance is fast but heats up sometimes,Neutral,neutral,0.6,0.6
fast charging works perfectly,Neutral,neutral,0.6,0.6
feels laggy when switching apps,Neutral,neutral,0.6,0.6
feels laggy when switching apps,Neutral,neutral,0.6,0.6
colors on display are vibrant,Neutral,neutral,0.6,0.6
camera performs well in low light,Neutral,neutral,0.6,0.6
smooth performance overall,Neutral,neutral,0.6,0.6
value for money,Neutral,neutral,0.6,0.6
the phone feels premium in hand,Neutral,neutral,0.6,0.6
performance is fast but heats up sometimes,Neutral,neutral,0.6,0.6
the phone feels premium in hand,Neutral,neutral,0.6,0.6
design looks outdated,Neutral,neutral,0.6,0.6
camera quality is disappointing,Neutral,neutral,0.6,0.6
battery lasts all day,Neutral,neutral,0.6,0.6
performance is fast but heats up sometimes,Neutral,neutral,0.6,0.6
colors on display are vibrant,Neutral,neutral,0.6,0.6
display is bright and clear,Neutral,neutral,0.6,0.6
display is bright and clear,Neutral,neutral,0.6,0.6
design looks outdated,Neutral,neutral,0.6,0.6
touch response is slow sometimes,Neutral,neutral,0.6,0.6
display is bright and clear,Neutral,neutral,0.6,0.6
great camera but battery drains quickly,Positive,joy,0.85,0.8
design looks outdated,Neutral,neutral,0.6,0.6
heating issues while gaming,Neutral,neutral,0.6,0.6
touch response is slow sometimes,Neutral,neutral,0.6,0.6
smooth performance overall,Neutral,neutral,0.6,0.6
camera performs well in low light,Neutral,neutral,0.6,0.6
performance is fast but heats up sometimes,Neutral,neutral,0.6,0.6
camera quality is disappointing,Neutral,neutral,0.6,0.6
the phone feels premium in hand,Neutral,neutral,0.6,0.6
build quality is excellent,Neutral,neutral,0.6,0.6
